path,alphabet,character_number,class_id
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_01.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_02.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_03.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_04.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_05.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_06.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_07.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_08.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_09.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_10.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_11.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_12.png,Alphabet_of_the_Magi,character01,0
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_01.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_02.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_03.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_04.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_05.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_06.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_07.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_08.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_09.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_10.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_11.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_12.png,Alphabet_of_the_Magi,character02,1
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_01.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_02.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_03.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_04.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_05.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_06.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_07.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_08.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_09.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_10.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_11.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character03/0711_12.png,Alphabet_of_the_Magi,character03,2
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_01.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_02.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_03.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_04.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_05.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_06.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_07.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_08.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_09.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_10.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_11.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character04/0712_12.png,Alphabet_of_the_Magi,character04,3
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_01.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_02.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_03.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_04.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_05.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_06.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_07.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_08.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_09.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_10.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_11.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character05/0713_12.png,Alphabet_of_the_Magi,character05,4
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_01.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_02.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_03.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_04.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_05.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_06.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_07.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_08.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_09.png,Alphabet_of_the_Magi,character06,5
Omniglot/images_background/Alphabet_of_the_Magi/character06/0714_10.png,Alphabet_of_the_Magi,character06,5
